Country Name,Country Code,Series Name,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018
OECD members,OED,GDP growth (annual %),3.251651022,4.004945936,1.394673508,1.554658903,1.97713929,3.181120806,2.759629725,3.013692378,2.561104948,0.256397917,-3.477665867,2.886706143,1.804573799,1.270515519,1.472843687,2.054296602,2.422829122,1.741710582,2.419673973,2.205190485
Oman,OMN,GDP growth (annual %),-0.124806894,5.401372717,4.482454096,-1.10056525,-2.668969447,1.292112564,2.49045836,5.372068299,4.452694304,8.199695813,6.112453761,4.804711285,-1.108745787,9.332675576,4.372615776,2.751031637,4.741250717,4.980170972,-0.928051651,2.125137289
Other small states,OSS,GDP growth (annual %),,,4.341167457,4.561516489,4.372178063,9.510164254,6.111824685,11.06067512,9.933800972,7.494313303,1.828080088,8.277931001,7.655899272,3.659984036,3.013499901,2.918295544,2.793412602,2.393984811,2.170536072,2.143413236
Pacific island small states,PSS,GDP growth (annual %),4.852781907,-0.635678842,1.162032127,1.917647206,2.049102936,3.888781571,2.27781456,2.482818983,1.294370789,1.984466474,-1.333935288,2.900447515,4.102820515,1.759449624,2.745233134,3.945499215,3.678484603,3.35080718,4.042383958,3.571921227
Pakistan,PAK,GDP growth (annual %),3.660132744,4.260088012,1.982484032,3.224429973,4.846320935,7.368571359,7.667304271,6.177542036,4.832817277,1.701405465,2.831658519,1.606691959,2.74840255,3.50703342,4.396456633,4.674707981,4.731147475,5.526735845,5.700621241,5.430010786
Palau,PLW,GDP growth (annual %),,,6.643005046,3.962599612,-3.235676151,4.845538443,4.493255138,-2.199277506,0.926833558,-5.355364719,-5.929866287,0.416866486,5.386599547,3.597216479,-2.103951357,4.7748518,10.4309733,0.526568961,-3.570566825,5
Panama,PAN,GDP growth (annual %),3.917206589,2.715374155,0.574272791,2.229149417,4.205495945,7.522079658,7.191279402,8.652465611,11.98398539,9.855654852,1.242992318,5.827839392,11.31373175,9.778903946,6.903272566,5.066743218,5.732763632,4.966420444,5.321230184,3.677013629
Papua New Guinea,PNG,GDP growth (annual %),1.855553994,-2.494841993,-0.121288606,-0.158900533,2.164102502,2.721175741,6.344795923,2.294466102,11.09778044,-0.294276458,6.805554142,10.12468622,1.107311011,4.648420685,3.829931274,13.5,9.5,4.1,1.549820847,0.427556313
Paraguay,PRY,GDP growth (annual %),-1.366079712,-2.314140568,-0.834054717,-0.021404395,4.320745486,4.057418364,2.133490665,4.807117193,5.421622872,6.359120793,-0.257971434,11.14373579,4.249111045,-0.538512943,8.417495285,4.860890371,3.080374008,4.31290497,4.958051422,3.637826772
Peru,PER,GDP growth (annual %),1.494910643,2.694371398,0.617892326,5.453528938,4.165023137,4.958203206,6.285060325,7.528899044,8.518387769,9.126568301,1.095823659,8.332459107,6.327192402,6.139724706,5.852518211,2.381938283,3.255889597,3.955881804,2.519088535,3.976501519
